Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  138.66666666666666
Name:  socialnetwork_user-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-mongodb_1 | Utilisation:  0.27 | shares  3744.0
Name:  socialnetwork_post-storage-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_unique-id-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_media-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-mention-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  0.09 | shares  1248.0
Name:  socialnetwork_text-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  0.08 | shares  1109.3333333333333
Name:  socialnetwork_user-memcached_1 | Utilisation:  0.01 | shares  138.66666666666666
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  138.66666666666666
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  0.29 | shares  4021.333333333333
Name:  socialnetwork_compose-post-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  0.24 | shares  3327.9999999999995
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  0.27 | shares  3744.0
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  0.25 | shares  3466.6666666666665
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.09 | shares  1248.0
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.3 | shares  4160.0
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  138.66666666666666
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  0.0 | shares  0.0
*****
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  20.83 | shares  1875.4114504074935
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  2.62 | shares  235.88948632105777
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.900341550843732
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.900341550843732
Name:  socialnetwork_unique-id-service_1 | Utilisation:  5.3 | shares  477.18102194717795
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-service_1 | Utilisation:  17.39 | shares  1565.69395691725
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  15.39 | shares  1385.6256467485036
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  14.05 | shares  1264.9798789354434
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  12.33 | shares  1110.1211321903215
Name:  socialnetwork_text-service_1 | Utilisation:  33.36 | shares  3003.5394136146897
Name:  socialnetwork_post-storage-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  19.95 | shares  1796.1813939332453
Name:  socialnetwork_media-service_1 | Utilisation:  5.12 | shares  460.9748740319908
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.32 | shares  28.810929626999425
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  11.71 | shares  1054.2999560380101
Name:  socialnetwork_user-service_1 | Utilisation:  4.91 | shares  442.06770146427243
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.14 | shares  12.60478171181225
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.900341550843732
Name:  socialnetwork_user-mention-service_1 | Utilisation:  21.75 | shares  1958.242873085117
Name:  socialnetwork_user-mongodb_1 | Utilisation:  10.6 | shares  954.3620438943559
Name:  socialnetwork_user-memcached_1 | Utilisation:  7.34 | shares  660.8506983192992
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  3.86 | shares  347.5318386256805
Name:  socialnetwork_compose-post-service_1 | Utilisation:  63.09 | shares  5680.254844273105
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  9.47 | shares  852.6234486490142
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  16.15 | shares  1454.051604612627
*****
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  12.73 | shares  1044.2553611042642
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.8203105743159971
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  15.95 | shares  1308.3953660340153
Name:  socialnetwork_media-service_1 | Utilisation:  5.35 | shares  438.8661572590584
Name:  socialnetwork_user-service_1 | Utilisation:  5.42 | shares  444.6083312792704
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.8203105743159971
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.8203105743159971
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.29 | shares  23.789006655163913
Name:  socialnetwork_social-graph-service_1 | Utilisation:  17.81 | shares  1460.9731328567907
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  22.14 | shares  1816.1676115356174
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  2.75 | shares  225.5854079368992
Name:  socialnetwork_compose-post-service_1 | Utilisation:  66.69 | shares  5470.651220113385
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  17.75 | shares  1456.0512694108947
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  9.98 | shares  818.6699531673651
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  20.27 | shares  1662.769534138526
Name:  socialnetwork_user-mention-service_1 | Utilisation:  22.65 | shares  1858.0034508257331
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  12.16 | shares  997.4976583682525
Name:  socialnetwork_unique-id-service_1 | Utilisation:  5.54 | shares  454.4520581710624
Name:  socialnetwork_user-memcached_1 | Utilisation:  7.96 | shares  652.9672171555336
Name:  socialnetwork_text-service_1 | Utilisation:  35.62 | shares  2921.9462657135814
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.09 | shares  7.382795168843973
Name:  socialnetwork_user-mongodb_1 | Utilisation:  11.49 | shares  942.5368498890806
Name:  socialnetwork_post-storage-service_1 | Utilisation:  12.88 | shares  1056.5600197190042
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  15.22 | shares  1248.5126941089475
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  3.79 | shares  310.8977076657629
*****
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  10.45 | shares  818.2242743287358
Name:  socialnetwork_user-mongodb_1 | Utilisation:  11.92 | shares  933.3237655500986
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.7829897361997472
Name:  socialnetwork_compose-post-service_1 | Utilisation:  71.01 | shares  5560.010116754405
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  16.8 | shares  1315.4227568155752
Name:  socialnetwork_social-graph-service_1 | Utilisation:  18.96 | shares  1484.5485398347207
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.7829897361997472
