Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  0.29 | shares  3659.2227488151652
Name:  socialnetwork_user-memcached_1 | Utilisation:  0.01 | shares  126.18009478672984
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  126.18009478672984
Name:  socialnetwork_user-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_post-storage-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_unique-id-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-mention-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.27 | shares  3406.862559241706
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  0.27 | shares  3406.862559241706
Name:  socialnetwork_media-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-mongodb_1 | Utilisation:  0.28 | shares  3533.042654028436
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  0.11 | shares  1387.9810426540282
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  126.18009478672984
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.12 | shares  1514.161137440758
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  0.32 | shares  4037.763033175355
Name:  socialnetwork_text-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  126.18009478672984
Name:  socialnetwork_social-graph-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  0.09 | shares  1135.6208530805686
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_compose-post-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  0.32 | shares  4037.763033175355
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  0.0 | shares  0.0
*****
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  18.31 | shares  1349.2539164129528
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  19.26 | shares  1419.2588984223635
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  3.0 | shares  221.0683642402435
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  27.98 | shares  2061.8309438140045
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  13.89 | shares  1023.5465264323276
Name:  socialnetwork_unique-id-service_1 | Utilisation:  5.94 | shares  437.7153611956822
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.28 | shares  20.633047329089397
Name:  socialnetwork_text-service_1 | Utilisation:  39.09 | shares  2880.5207860503733
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  8.105840022142262
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  13.32 | shares  981.5435372266812
Name:  socialnetwork_post-storage-service_1 | Utilisation:  13.58 | shares  1000.7027954608357
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  3.77 | shares  277.8092443952394
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.7368945474674784
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  10.04 | shares  739.8421256573482
Name:  socialnetwork_social-graph-service_1 | Utilisation:  20.24 | shares  1491.4745640741762
Name:  socialnetwork_user-memcached_1 | Utilisation:  8.61 | shares  634.4662053694989
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  24.77 | shares  1825.287794076944
Name:  socialnetwork_user-mention-service_1 | Utilisation:  25.04 | shares  1845.1839468585658
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.7368945474674784
Name:  socialnetwork_compose-post-service_1 | Utilisation:  72.99 | shares  5378.593301965125
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  16.98 | shares  1251.2469415997784
Name:  socialnetwork_media-service_1 | Utilisation:  5.82 | shares  428.8726266260725
Name:  socialnetwork_user-service_1 | Utilisation:  5.85 | shares  431.08331026847486
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.7368945474674784
Name:  socialnetwork_user-mongodb_1 | Utilisation:  12.4 | shares  913.7492388596733
*****
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  18.21 | shares  1946.6114189351965
Name:  socialnetwork_user-memcached_1 | Utilisation:  5.49 | shares  586.8696699590461
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  2.17 | shares  231.96852164137155
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  9.95 | shares  1063.6344655906207
Name:  socialnetwork_user-mongodb_1 | Utilisation:  9.03 | shares  965.2883642495783
Name:  socialnetwork_social-graph-service_1 | Utilisation:  13.38 | shares  1430.2943868947243
Name:  socialnetwork_post-storage-service_1 | Utilisation:  8.78 | shares  938.5638801895125
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  1.068979362402634
500 Server Error for http+docker://localhost/v1.41/containers/42d6dd1bcf4256cbb97910679de2ee4941fcac44e2742083f752ca6069139440/update: Internal Server Error ("Cannot update container 42d6dd1bcf4256cbb97910679de2ee4941fcac44e2742083f752ca6069139440: runc did not terminate successfully: the minimum allowed cpu-shares is 2
: unknown") 27
Name:  socialnetwork_user-memcached_1 | Utilisation:  8.56 | shares  638.0040872316005
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  24.45 | shares  1822.336440749139
Name:  socialnetwork_compose-post-service_1 | Utilisation:  72.79 | shares  5425.270737101425
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  3.49 | shares  260.12082528484643
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.3 | shares  22.359956328210295
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  3.05 | shares  227.32622267013798
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  17.52 | shares  1305.8214495674813
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  8.198650653677108
Name:  socialnetwork_media-service_1 | Utilisation:  5.78 | shares  430.8018252568517
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  16.67 | shares  1242.4682399708854
Name:  socialnetwork_post-storage-service_1 | Utilisation:  13.44 | shares  1001.7260435038212
Name:  socialnetwork_unique-id-service_1 | Utilisation:  5.86 | shares  436.7644802777078
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.7453318776070098
Name:  socialnetwork_text-service_1 | Utilisation:  38.06 | shares  2836.7331261722798
Name:  socialnetwork_user-mention-service_1 | Utilisation:  24.51 | shares  1826.8084320147811
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  19.32 | shares  1439.981187536743
Name:  socialnetwork_user-service_1 | Utilisation:  5.71 | shares  425.5845021136026
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  27.67 | shares  2062.3333053385963
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.7453318776070098
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  13.97 | shares  1041.2286330169927
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.7453318776070098
Name:  socialnetwork_user-mongodb_1 | Utilisation:  12.38 | shares  922.7208644774782
Name:  socialnetwork_social-graph-service_1 | Utilisation:  19.69 | shares  1467.5584670082023
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  10.79 | shares  804.2130959379635
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  13.06 | shares  973.4034321547549
*****
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  8.554020504132957
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.7776382276484506
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  2.84 | shares  220.84925665215997
Name:  socialnetwork_post-storage-service_1 | Utilisation:  12.19 | shares  947.9409995034613
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  3.48 | shares  270.6181032216608
Name:  socialnetwork_media-service_1 | Utilisation:  5.63 | shares  437.8103221660777
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  16.4 | shares  1275.3266933434588
Name:  socialnetwork_user-mention-service_1 | Utilisation:  23.41 | shares  1820.4510909250228
Name:  socialnetwork_user-mongodb_1 | Utilisation:  11.82 | shares  919.1683850804686
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  12.68 | shares  986.0452726582354
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
