Name:  socialnetwork-text-service-1 | Utilisation:  36.29 | shares  72.58
Name:  socialnetwork-user-service-1 | Utilisation:  5.66 | shares  11.32
Name:  socialnetwork-media-service-1 | Utilisation:  5.35 | shares  10.7
Name:  socialnetwork-post-storage-service-1 | Utilisation:  12.52 | shares  25.04
Name:  socialnetwork-nginx-thrift-1 | Utilisation:  22.55 | shares  45.1
Name:  socialnetwork-post-storage-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-social-graph-service-1 | Utilisation:  18.26 | shares  36.52
Name:  socialnetwork-compose-post-service-1 | Utilisation:  68.84 | shares  137.68
Name:  socialnetwork-post-storage-mongodb-1 | Utilisation:  12.93 | shares  25.86
Name:  socialnetwork-media-mongodb-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-url-shorten-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-media-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-social-graph-mongodb-1 | Utilisation:  12.6 | shares  25.2
Name:  socialnetwork-social-graph-redis-1 | Utilisation:  2.73 | shares  5.46
Name:  socialnetwork-user-timeline-redis-1 | Utilisation:  3.1 | shares  6.2
Name:  socialnetwork-user-mention-service-1 | Utilisation:  22.84 | shares  45.68
Name:  socialnetwork-unique-id-service-1 | Utilisation:  5.52 | shares  11.04
Name:  socialnetwork-user-memcached-1 | Utilisation:  7.98 | shares  15.96
Name:  socialnetwork-user-timeline-service-1 | Utilisation:  15.97 | shares  31.94
Name:  socialnetwork-user-mongodb-1 | Utilisation:  11.28 | shares  22.56
Name:  socialnetwork-home-timeline-service-1 | Utilisation:  10.54 | shares  21.08
Name:  socialnetwork-url-shorten-mongodb-1 | Utilisation:  14.63 | shares  29.26
Name:  socialnetwork-media-frontend-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-timeline-mongodb-1 | Utilisation:  16.63 | shares  33.26
Name:  socialnetwork-home-timeline-redis-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-url-shorten-service-1 | Utilisation:  18.0 | shares  36.0
*****
Name:  socialnetwork-media-mongodb-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-timeline-service-1 | Utilisation:  17.38 | shares  34.76
Name:  socialnetwork-text-service-1 | Utilisation:  40.55 | shares  81.1
Name:  socialnetwork-url-shorten-mongodb-1 | Utilisation:  16.59 | shares  33.18
Name:  socialnetwork-social-graph-mongodb-1 | Utilisation:  13.88 | shares  27.76
Name:  socialnetwork-media-frontend-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-timeline-mongodb-1 | Utilisation:  18.55 | shares  37.1
Name:  socialnetwork-unique-id-service-1 | Utilisation:  6.02 | shares  12.04
Name:  socialnetwork-media-service-1 | Utilisation:  5.61 | shares  11.22
Name:  socialnetwork-nginx-thrift-1 | Utilisation:  25.51 | shares  51.02
Name:  socialnetwork-post-storage-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-post-storage-mongodb-1 | Utilisation:  14.31 | shares  28.62
Name:  socialnetwork-user-timeline-redis-1 | Utilisation:  3.45 | shares  6.9
Name:  socialnetwork-url-shorten-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-social-graph-redis-1 | Utilisation:  3.06 | shares  6.12
Name:  socialnetwork-user-mongodb-1 | Utilisation:  12.56 | shares  25.12
Name:  socialnetwork-media-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-home-timeline-redis-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-home-timeline-service-1 | Utilisation:  11.3 | shares  22.6
Name:  socialnetwork-user-mention-service-1 | Utilisation:  25.85 | shares  51.7
Name:  socialnetwork-post-storage-service-1 | Utilisation:  13.77 | shares  27.54
Name:  socialnetwork-social-graph-service-1 | Utilisation:  20.12 | shares  40.24
Name:  socialnetwork-url-shorten-service-1 | Utilisation:  20.02 | shares  40.04
Name:  socialnetwork-user-service-1 | Utilisation:  6.04 | shares  12.08
Name:  socialnetwork-compose-post-service-1 | Utilisation:  76.4 | shares  152.8
Name:  socialnetwork-user-memcached-1 | Utilisation:  8.97 | shares  17.94
*****
Name:  socialnetwork-user-timeline-mongodb-1 | Utilisation:  17.61 | shares  35.22
Name:  socialnetwork-social-graph-service-1 | Utilisation:  18.71 | shares  37.42
Name:  socialnetwork-post-storage-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-post-storage-service-1 | Utilisation:  12.89 | shares  25.78
Name:  socialnetwork-media-service-1 | Utilisation:  5.88 | shares  11.76
Name:  socialnetwork-user-mongodb-1 | Utilisation:  11.73 | shares  23.46
